order_id,order_date,amount,product_id
1,2023-01-13,803.01,118
2,2023-07-28,803.99,116
3,2023-12-05,314.96,105
4,2023-12-24,191.68,110
5,2023-10-02,651.49,104
6,2023-08-12,624.29,106
7,2023-09-28,898.91,111
8,2023-05-07,428.81,103
9,2023-05-03,773.19,117
10,2023-09-28,173.54,116
11,2023-05-04,179.24,110
12,2023-03-08,584.2,100
13,2023-09-13,958.27,108
14,2023-06-30,511.39,100
15,2023-02-28,438.47,109
16,2023-01-31,802.4,104
17,2023-07-02,541.55,115
18,2023-09-19,153.09,101
19,2023-08-30,595.84,103
20,2023-05-26,143.3,118
21,2023-12-19,999.83,103
22,2023-01-05,86.59,114
23,2023-05-12,151.25,120
24,2023-01-25,431.76,107
25,2023-01-22,720.07,118
26,2023-03-11,443.82,116
27,2023-02-27,612.21,111
28,2023-04-16,605.16,108
29,2023-07-23,502.0,106
30,2023-04-30,582.32,106
31,2023-08-15,747.72,111
32,2023-06-15,385.59,107
33,2023-03-10,422.63,112
34,2023-08-16,636.27,109
35,2023-03-03,304.35,113
36,2023-04-01,970.35,116
37,2023-05-24,591.08,118
38,2023-05-11,429.36,110
39,2023-07-10,315.96,106
40,2023-05-18,533.69,117
41,2023-06-18,980.29,112
42,2023-01-01,93.85,119
43,2023-11-04,713.28,116
44,2023-07-07,144.94,106
45,2023-12-16,183.95,111
46,2023-08-21,451.13,113
47,2023-12-15,403.67,103
48,2023-03-08,379.82,120
49,2023-11-07,747.44,111
50,2023-09-28,476.16,105
51,2023-01-11,657.78,120
52,2023-04-25,861.27,120
53,2023-01-15,195.26,106
54,2023-03-30,590.86,112
55,2023-03-12,435.88,119
56,2023-07-27,403.94,104
57,2023-04-25,723.45,105
58,2023-07-16,122.59,110
59,2023-01-13,879.18,108
60,2023-09-20,690.34,115
61,2023-11-07,287.27,106
62,2023-08-04,456.93,114
63,2023-12-06,155.63,113
64,2023-12-10,470.54,116
65,2023-08-26,79.54,114
66,2023-02-14,946.12,107
67,2023-05-16,725.25,107
68,2023-01-22,144.86,101
69,2023-12-14,901.31,108
70,2023-12-03,815.33,113
71,2023-09-12,458.89,113
72,2023-08-08,331.1,117
73,2023-02-09,891.83,107
74,2023-03-03,723.57,114
75,2023-06-09,201.05,116
76,2023-10-10,624.33,112
77,2023-04-29,863.11,117
78,2023-07-13,250.21,115
79,2023-02-17,87.15,108
80,2023-12-01,178.92,101
81,2023-09-22,933.13,103
82,2023-12-12,480.16,119
83,2023-09-21,267.72,118
84,2023-01-09,560.77,118
85,2023-01-24,514.99,120
86,2023-10-01,765.35,105
87,2023-08-05,681.82,115
88,2023-05-03,540.44,112
89,2023-04-09,233.99,109
90,2023-11-04,409.73,111
91,2023-09-08,83.32,102
92,2023-02-02,725.05,112
93,2023-04-23,89.96,111
94,2023-07-01,872.66,116
95,2023-06-15,746.31,100
96,2023-03-12,613.12,114
97,2023-11-22,142.79,115
98,2023-03-22,959.57,117
99,2023-03-23,746.5,105
100,2023-10-11,327.32,106
